Row,Faculty,AcademicCareer,CourseCode,CourseName,CourseID,OfferingSeq,Year,T,TermSeq,TermCode,SortKey,IsRedacted,FL,UF,AF,NF,PS,CR,DN,HD,AW,PW,CN,CO,CM,SY,EF,EC,EM,AS,PE,NC,FailSum,WithdrawSum,NonstdSum,OtherSum,Fail_norm,PS_norm,CR_norm,DN_norm,HD_norm,IsNonStandardGrading,Note,Index
1,Faculty of Science,P,PSYC5001,Introduction to Psychology 1,065551,1,2024,Hexamester 1,1,24H1,20241,False,,,,,2.5,35.0,32.5,30.0,,,,,,,,,,,,,,,,,0.0,2.5,35.0,32.5,30.0,False,,55.0
2,Faculty of Science,P,PSYC5003,Data Analysis & Psych Inquiry,065550,1,2024,Hexamester 1,1,24H1,20241,False,11.76,,,,,47.06,23.53,17.65,,,,,,,,,,,,,11.76,,,,11.76,0.0,47.06,23.53,17.65,False,,29.42
3,Faculty of Science,P,PSYC5004,Advanced Data Analysis,065563,1,2024,Hexamester 1,1,24H1,20241,False,,,7.69,,30.77,7.69,30.77,15.38,,7.69,,,,,,,,,,,7.69,7.69,,,8.33,33.33,8.33,33.33,16.66,False,,27.08
4,Faculty of Science,P,PSYC5005,Behavioural Neuroscience,065562,1,2024,Hexamester 1,1,24H1,20241,False,,,,,11.11,33.33,22.22,33.33,,,,,,,,,,,,,,,,,0.0,11.11,33.33,22.22,33.33,False,,52.77
5,Faculty of Science,P,PSYC5006,Psychology Across the Lifespan,065561,1,2024,Hexamester 1,1,24H1,20241,False,,,,,,33.33,33.33,33.33,,,,,,,,,,,,,,,,,0.0,0.0,33.33,33.33,33.33,False,,58.33
6,Faculty of Science,P,PSYC5007,"Individual, Culture & Society",065560,1,2024,Hexamester 1,1,24H1,20241,False,,,,,,29.41,70.59,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,70.59,0.0,False,,42.65
7,Faculty of Science,P,PSYC5008,Perception and Cognition,065559,1,2024,Hexamester 1,1,24H1,20241,False,,,,,6.25,31.25,37.5,25.0,,,,,,,,,,,,,,,,,0.0,6.25,31.25,37.5,25.0,False,,51.56
8,Faculty of Science,P,PSYC5009,Abnormal Psychology,065558,1,2024,Hexamester 1,1,24H1,20241,False,,,,,,68.75,31.25,,,,,,,,,,,,,,,,,,0.0,0.0,68.75,31.25,0.0,False,,32.81
9,Faculty of Science,P,PSYC5010,"Psychological Assessment, Ethi",065557,1,2024,Hexamester 1,1,24H1,20241,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
10,Faculty of Science,P,PSYC5116,Wellbeing and Resilience,066390,1,2024,Hexamester 1,1,24H1,20241,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
11,UNSW Business School,P (Online),ZZBU6003,Business Economics,066514,1,2024,Hexamester 1,1,24H1,20241,False,7.59,,5.06,,3.8,6.33,16.46,56.96,3.8,,,,,,,,,,,,12.65,3.8,,,13.15,3.95,6.58,17.11,59.21,False,,56.26
12,UNSW Business School,P (Online),ZZBU6006,Strategies for Disruption,066516,1,2024,Hexamester 1,1,24H1,20241,False,,,4.35,,4.35,26.09,60.87,4.35,,,,,,,,,,,,,4.35,,,,4.35,4.35,26.09,60.87,4.35,False,,36.96
13,UNSW Business School,P (Online),ZZBU6103,Entrepreneurship & Innovation,066591,1,2024,Hexamester 1,1,24H1,20241,False,6.67,,3.33,,6.67,23.33,40.0,20.0,,,,,,,,,,,,,10.0,,,,10.0,6.67,23.33,40.0,20.0,False,,35.83
14,UNSW Business School,P (Online),ZZBU6404,HR Analytics,067186,1,2024,Hexamester 1,1,24H1,20241,False,6.25,,,,18.75,56.25,12.5,,6.25,,,,,,,,,,,,6.25,6.25,,,6.67,20.0,60.0,13.33,0.0,False,,15.0
15,UNSW Business School,P (Online),ZZBU6409,Change Management,067204,1,2024,Hexamester 1,1,24H1,20241,False,6.25,,6.25,,4.69,48.44,28.13,,3.13,1.56,,,,,,,,,,1.56,12.5,4.69,,1.56,13.12,4.92,50.82,29.51,0.0,False,,14.34
16,UNSW Business School,P (Online),ZZBU6503,Mging People Analytics Change,065975,1,2024,Hexamester 1,1,24H1,20241,False,4.69,,3.13,,21.88,25.0,28.13,12.5,4.69,,,,,,,,,,,,7.82,4.69,,,8.2,22.96,26.23,29.51,13.12,False,,26.23
17,UNSW Business School,P (Online),ZZBU6507,Data Visualistn & Communictn,065972,1,2024,Hexamester 1,1,24H1,20241,False,3.33,,,,1.11,13.33,53.33,26.67,2.22,,,,,,,,,,,,3.33,2.22,,,3.41,1.14,13.63,54.54,27.28,False,,54.55
18,UNSW Business School,P (Online),ZZBU6513,Social Media & Dgtl Analytics,066381,1,2024,Hexamester 1,1,24H1,20241,False,5.71,,,,20.0,34.29,28.57,11.43,,,,,,,,,,,,,5.71,,,,5.71,20.0,34.29,28.57,11.43,False,,28.58
19,UNSW Business School,P (Online),ZZBU6601,General Analytics Capstone,066018,1,2024,Hexamester 1,1,24H1,20241,False,,,,,10.0,25.0,40.0,15.0,10.0,,,,,,,,,,,,,10.0,,,0.0,11.11,27.78,44.44,16.67,False,,45.84
20,UNSW Business School,P (Online),ZZBU8503,RegTech Applications,066360,1,2024,Hexamester 1,1,24H1,20241,False,,,,,,45.45,36.36,18.18,,,,,,,,,,,,,,,,,0.0,0.0,45.45,36.36,18.18,False,,47.72
