Faculty,Academic Career,Course,Year,Term,FL,UF,AF,CN,EF,EM,PS,CR,DN,HD,SY,AS,CM,CO,EC,PE,AW,NC,NF,PW
Faculty of Science,Postgraduate,PSYC5001 Introduction to Psychology 1 065551 1 PGRD,2024,2024 Hexamester 1,,,,,,,2.50%,35.00%,32.50%,30.00%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5003 Data Analysis & Psych Inquiry 065550 1 PGRD,2024,2024 Hexamester 1,11.76%,,,,,,,47.06%,23.53%,17.65%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5004 Advanced Data Analysis 065563 1 PGRD,2024,2024 Hexamester 1,,,7.69%,,,,30.77%,7.69%,30.77%,15.38%,,,,,,,,,,7.69%
Faculty of Science,Postgraduate,PSYC5005 Behavioural Neuroscience 065562 1 PGRD,2024,2024 Hexamester 1,,,,,,,11.11%,33.33%,22.22%,33.33%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5006 Psychology Across the Lifespan 065561 1 PGRD,2024,2024 Hexamester 1,,,,,,,,33.33%,33.33%,33.33%,,,,,,,,,,
Faculty of Science,Postgraduate,"PSYC5007 Individual, Culture & Society 065560 1 PGRD",2024,2024 Hexamester 1,,,,,,,,29.41%,70.59%,,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5008 Perception and Cognition 065559 1 PGRD,2024,2024 Hexamester 1,,,,,,,6.25%,31.25%,37.50%,25.00%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5009 Abnormal Psychology 065558 1 PGRD,2024,2024 Hexamester 1,,,,,,,,68.75%,31.25%,,,,,,,,,,,
Faculty of Science,Postgraduate,"PSYC5010 Psychological Assessment, Ethi 065557 1 PGRD",2024,2024 Hexamester 1,REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b))
Faculty of Science,Postgraduate,PSYC5116 Wellbeing and Resilience 066390 1 PGRD,2024,2024 Hexamester 1,REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b))
UNSW Business School,Postgraduate (Online),ZZBU6003 Business Economics 066514 1 PGRO,2024,2024 Hexamester 1,7.59%,,5.06%,,,,3.80%,6.33%,16.46%,56.96%,,,,,,,3.80%,,,
UNSW Business School,Postgraduate (Online),ZZBU6006 Strategies for Disruption 066516 1 PGRO,2024,2024 Hexamester 1,,,4.35%,,,,4.35%,26.09%,60.87%,4.35%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU6103 Entrepreneurship & Innovation 066591 1 PGRO,2024,2024 Hexamester 1,6.67%,,3.33%,,,,6.67%,23.33%,40.00%,20.00%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU6404 HR Analytics 067186 1 PGRO,2024,2024 Hexamester 1,6.25%,,,,,,18.75%,56.25%,12.50%,,,,,,,,6.25%,,,
UNSW Business School,Postgraduate (Online),ZZBU6409 Change Management 067204 1 PGRO,2024,2024 Hexamester 1,6.25%,,6.25%,,,,4.69%,48.44%,28.13%,,,,,,,,3.13%,1.56%,,1.56%
UNSW Business School,Postgraduate (Online),ZZBU6503 Mging People Analytics Change 065975 1 PGRO,2024,2024 Hexamester 1,4.69%,,3.13%,,,,21.88%,25.00%,28.13%,12.50%,,,,,,,4.69%,,,
UNSW Business School,Postgraduate (Online),ZZBU6507 Data Visualistn & Communictn 065972 1 PGRO,2024,2024 Hexamester 1,3.33%,,,,,,1.11%,13.33%,53.33%,26.67%,,,,,,,2.22%,,,
UNSW Business School,Postgraduate (Online),ZZBU6513 Social Media & Dgtl Analytics 066381 1 PGRO,2024,2024 Hexamester 1,5.71%,,,,,,20.00%,34.29%,28.57%,11.43%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU6601 General Analytics Capstone 066018 1 PGRO,2024,2024 Hexamester 1,,,,,,,10.00%,25.00%,40.00%,15.00%,,,,,,,10.00%,,,
UNSW Business School,Postgraduate (Online),ZZBU8503 RegTech Applications 066360 1 PGRO,2024,2024 Hexamester 1,,,,,,,,45.45%,36.36%,18.18%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU8504 Technical Tools for FinTech 066352 1 PGRO,2024,2024 Hexamester 1,,,4.35%,,,,8.70%,4.35%,4.35%,78.26%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU8509 Tech Disr in Funding & Lending 066350 1 PGRO,2024,2024 Hexamester 1,,,,,,,6.25%,31.25%,43.75%,18.75%,,,,,,,,,,
